,% start,end,CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay,stdDev,min,max,PduSize,stdDev.1,min.1,max.1,priority
563,13.5,13.75,1,4,4,3,25,26400,25,26400,0.000709284,4.67703e-05,0.000689284,0.000814283,1056,0,1056,1056,low
564,13.5,13.75,1,5,5,3,25,26400,28,29568,0.000844259,0.000293787,0.000635713,0.00140357,1056,0,1056,1056,medium
565,13.5,13.75,1,6,6,3,50,26450,50,26450,0.000692498,4.35452e-05,0.00065357,0.000742855,529,138391,392,666,low
566,13.5,13.75,1,7,7,3,25,26400,25,26400,0.000749284,2.67259e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
567,13.5,13.75,1,8,8,3,25,26400,25,26400,0.000767141,2.67259e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
568,13.5,13.75,1,9,9,3,25,26400,25,26400,0.000784998,2.67259e-05,0.000724998,0.000796426,1056,0,1056,1056,high
569,13.5,13.75,1,10,10,3,25,26400,25,26400,0.000802855,2.67259e-05,0.000742855,0.000814283,1056,0,1056,1056,high
570,13.75,14.0,1,1,1,3,25,26400,25,26400,0.000645713,3.46107e-05,0.000635713,0.000760712,1056,0,1056,1056,high
571,13.75,14.0,1,2,2,3,25,26400,25,26400,0.00066357,3.46107e-05,0.00065357,0.000778569,1056,0,1056,1056,low
572,13.75,14.0,1,3,3,3,25,26400,25,26400,0.000681427,3.46107e-05,0.000671427,0.000796426,1056,0,1056,1056,low
573,13.75,14.0,1,4,4,3,25,26400,25,26400,0.000699284,3.46107e-05,0.000689284,0.000814283,1056,0,1056,1056,low
574,13.75,14.0,1,5,5,3,25,26400,27,28512,0.000803702,0.00025187,0.000635713,0.00140357,1056,0,1056,1056,medium
575,13.75,14.0,1,6,6,3,50,26450,50,26450,0.000695355,4.44211e-05,0.00065357,0.000742855,529,138391,392,666,low
576,13.75,14.0,1,7,7,3,25,26400,25,26400,0.000754998,1.97775e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
577,13.75,14.0,1,8,8,3,25,26400,25,26400,0.000772855,1.97775e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
578,13.75,14.0,1,9,9,3,25,26400,26,27456,0.000856179,0.000232935,0.000724998,0.00165357,1056,0,1056,1056,high
579,13.75,14.0,1,10,10,3,25,26400,25,26400,0.000808569,1.97775e-05,0.000742855,0.000814283,1056,0,1056,1056,high
580,14.0,14.25,1,1,1,3,25,26400,25,26400,0.000660713,5.10306e-05,0.000635713,0.000760712,1056,0,1056,1056,high
581,14.0,14.25,1,2,2,3,25,26400,25,26400,0.00067857,5.10306e-05,0.00065357,0.000778569,1056,0,1056,1056,low
582,14.0,14.25,1,3,3,3,25,26400,25,26400,0.000696427,5.10306e-05,0.000671427,0.000796426,1056,0,1056,1056,low
583,14.0,14.25,1,4,4,3,25,26400,25,26400,0.000714284,5.10306e-05,0.000689284,0.000814283,1056,0,1056,1056,low
584,14.0,14.25,1,5,5,3,25,26400,29,30624,0.000886944,0.000319864,0.000635713,0.00140357,1056,0,1056,1056,medium
585,14.0,14.25,1,6,6,3,50,26450,50,26450,0.00069107,4.3028e-05,0.00065357,0.000742855,529,138391,392,666,low
586,14.0,14.25,1,7,7,3,25,26400,25,26400,0.000746426,2.91604e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
587,14.0,14.25,1,8,8,3,25,26400,25,26400,0.000764283,2.91604e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
588,14.0,14.25,1,9,9,3,25,26400,26,27456,0.000847937,0.000236273,0.000724998,0.00165357,1056,0,1056,1056,high
589,14.0,14.25,1,10,10,3,25,26400,25,26400,0.000799997,2.91604e-05,0.000742855,0.000814283,1056,0,1056,1056,high
590,14.25,14.5,1,1,1,3,25,26400,25,26400,0.000655713,4.67703e-05,0.000635713,0.000760712,1056,0,1056,1056,high
591,14.25,14.5,1,2,2,3,25,26400,25,26400,0.00067357,4.67703e-05,0.00065357,0.000778569,1056,0,1056,1056,low
592,14.25,14.5,1,3,3,3,25,26400,25,26400,0.000691427,4.67703e-05,0.000671427,0.000796426,1056,0,1056,1056,low
593,14.25,14.5,1,4,4,3,25,26400,25,26400,0.000709284,4.67703e-05,0.000689284,0.000814283,1056,0,1056,1056,low
594,14.25,14.5,1,5,5,3,25,26400,27,28512,0.000798411,0.000254682,0.000635713,0.00140357,1056,0,1056,1056,medium
595,14.25,14.5,1,6,6,3,50,26450,50,26450,0.000692498,4.35452e-05,0.00065357,0.000742855,529,138391,392,666,low
596,14.25,14.5,1,7,7,3,25,26400,25,26400,0.000749284,2.67259e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
597,14.25,14.5,1,8,8,3,25,26400,25,26400,0.000767141,2.67259e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
598,14.25,14.5,1,9,9,3,25,26400,26,27456,0.000850684,0.000235199,0.000724998,0.00165357,1056,0,1056,1056,high
599,14.25,14.5,1,10,10,3,25,26400,25,26400,0.000802855,2.67259e-05,0.000742855,0.000814283,1056,0,1056,1056,high
600,14.5,14.75,1,1,1,3,25,26400,25,26400,0.000652141,4.57943e-05,0.000635713,0.000796426,1056,0,1056,1056,high
601,14.5,14.75,1,2,2,3,25,26400,25,26400,0.000669998,4.57943e-05,0.00065357,0.000814283,1056,0,1056,1056,low
602,14.5,14.75,1,3,3,3,25,26400,26,27456,0.000735301,0.00019725,0.000635713,0.00140357,1056,0,1056,1056,low
603,14.5,14.75,1,4,4,3,25,26400,25,26400,0.000697855,3.57586e-05,0.00065357,0.000814283,1056,0,1056,1056,low
604,14.5,14.75,1,5,5,3,25,26400,25,26400,0.000727141,0.000138735,0.000635713,0.00138571,1056,0,1056,1056,medium
605,14.5,14.75,1,6,6,3,50,26450,50,26450,0.000694641,4.39261e-05,0.00065357,0.000742855,529,138391,392,666,low
606,14.5,14.75,1,7,7,3,25,26400,25,26400,0.000753569,2.06195e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
607,14.5,14.75,1,8,8,3,25,26400,25,26400,0.000771426,2.06195e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
608,14.5,14.75,1,9,9,3,25,26400,26,27456,0.000854805,0.000233407,0.000724998,0.00165357,1056,0,1056,1056,high
609,14.5,14.75,1,10,10,3,25,26400,25,26400,0.00080714,2.06195e-05,0.000742855,0.000814283,1056,0,1056,1056,high
610,14.75,15.0,1,1,1,3,25,26400,25,26400,0.000640713,2.49998e-05,0.000635713,0.000760712,1056,0,1056,1056,high
611,14.75,15.0,1,2,2,3,25,26400,25,26400,0.00065857,2.49998e-05,0.00065357,0.000778569,1056,0,1056,1056,low
612,14.75,15.0,1,3,3,3,25,26400,25,26400,0.000676427,2.49998e-05,0.000671427,0.000796426,1056,0,1056,1056,low
613,14.75,15.0,1,4,4,3,25,26400,25,26400,0.000694284,2.49998e-05,0.000689284,0.000814283,1056,0,1056,1056,low
614,14.75,15.0,1,5,5,3,25,26400,25,26400,0.000704284,1.42856e-05,0.000635713,0.000707141,1056,0,1056,1056,medium
615,14.75,15.0,1,6,6,3,50,26450,50,26450,0.000696784,4.47829e-05,0.00065357,0.000742855,529,138391,392,666,low
616,14.75,15.0,1,7,7,3,25,26400,25,26400,0.000757855,1.42856e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
617,14.75,15.0,1,8,8,3,25,26400,25,26400,0.000775712,1.42856e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
618,14.75,15.0,1,9,9,3,25,26400,26,27456,0.000858926,0.000231744,0.000724998,0.00165357,1056,0,1056,1056,high
619,14.75,15.0,1,10,10,3,25,26400,25,26400,0.000811426,1.42856e-05,0.000742855,0.000814283,1056,0,1056,1056,high
620,15.0,15.25,1,1,1,3,25,26400,25,26400,0.000650713,4.14575e-05,0.000635713,0.000760712,1056,0,1056,1056,high
621,15.0,15.25,1,2,2,3,25,26400,25,26400,0.00066857,4.14575e-05,0.00065357,0.000778569,1056,0,1056,1056,low
622,15.0,15.25,1,3,3,3,25,26400,25,26400,0.000686427,4.14575e-05,0.000671427,0.000796426,1056,0,1056,1056,low
623,15.0,15.25,1,4,4,3,25,26400,25,26400,0.000704284,4.14575e-05,0.000689284,0.000814283,1056,0,1056,1056,low
624,15.0,15.25,1,5,5,3,25,26400,26,27456,0.000751784,0.000190679,0.000635713,0.00140357,1056,0,1056,1056,medium
625,15.0,15.25,1,6,6,3,50,26450,50,26450,0.000693927,4.4009e-05,0.00065357,0.000742855,529,138391,392,666,low
626,15.0,15.25,1,7,7,3,25,26400,25,26400,0.000752141,"0,02369",0.000689284,0.000760712,1056,0,1056,1056,medium
627,15.0,15.25,1,8,8,3,25,26400,25,26400,0.000769998,"0,02369",0.000707141,0.000778569,1056,0,1056,1056,medium
628,15.0,15.25,1,9,9,3,25,26400,25,26400,0.000787855,"0,02369",0.000724998,0.000796426,1056,0,1056,1056,high
629,15.0,15.25,1,10,10,3,25,26400,25,26400,0.000805712,"0,02369",0.000742855,0.000814283,1056,0,1056,1056,high
630,15.25,15.5,1,1,1,3,25,26400,25,26400,0.000650713,4.14575e-05,0.000635713,0.000760712,1056,0,1056,1056,high
631,15.25,15.5,1,2,2,3,25,26400,25,26400,0.00066857,4.14575e-05,0.00065357,0.000778569,1056,0,1056,1056,low
632,15.25,15.5,1,3,3,3,25,26400,25,26400,0.000686427,4.14575e-05,0.000671427,0.000796426,1056,0,1056,1056,low
633,15.25,15.5,1,4,4,3,25,26400,25,26400,0.000704284,4.14575e-05,0.000689284,0.000814283,1056,0,1056,1056,low
634,15.25,15.5,1,5,5,3,25,26400,28,29568,0.000849361,0.000290611,0.000635713,0.00140357,1056,0,1056,1056,medium
635,15.25,15.5,1,6,6,3,50,26450,50,26450,0.000693927,4.4009e-05,0.00065357,0.000742855,529,138391,392,666,low
636,15.25,15.5,1,7,7,3,25,26400,25,26400,0.000752141,"0,02369",0.000689284,0.000760712,1056,0,1056,1056,medium
637,15.25,15.5,1,8,8,3,25,26400,25,26400,0.000769998,"0,02369",0.000707141,0.000778569,1056,0,1056,1056,medium
638,15.25,15.5,1,9,9,3,25,26400,26,27456,0.000853432,0.000234087,0.000724998,0.00165357,1056,0,1056,1056,high
639,15.25,15.5,1,10,10,3,25,26400,25,26400,0.000805712,"0,02369",0.000742855,0.000814283,1056,0,1056,1056,high
640,15.5,15.75,1,1,1,3,25,26400,25,26400,0.000665713,5.44858e-05,0.000635713,0.000760712,1056,0,1056,1056,high
641,15.5,15.75,1,2,2,3,25,26400,25,26400,0.00068357,5.44858e-05,0.00065357,0.000778569,1056,0,1056,1056,low
642,15.5,15.75,1,3,3,3,25,26400,25,26400,0.000701427,5.44858e-05,0.000671427,0.000796426,1056,0,1056,1056,low
643,15.5,15.75,1,4,4,3,25,26400,25,26400,0.000719284,5.44858e-05,0.000689284,0.000814283,1056,0,1056,1056,low
644,15.5,15.75,1,5,5,3,25,26400,28,29568,0.000841708,0.000295328,0.000635713,0.00140357,1056,0,1056,1056,medium
645,15.5,15.75,1,6,6,3,50,26450,50,26450,0.000689641,4.24556e-05,0.00065357,0.000742855,529,138391,392,666,low
